word,zipf
administers,3.23
administrate,2.34
administrated,2.56
administrates,1.46
administrating,2.25
administration,5.12
administrations,3.34
administrative,4.81
administratively,2.91
administrator,4.7
administrators,4.29
administratrix,1.7
admirable,3.18
admirably,2.76
admiral,3.69
admirals,2.71
admiralty,3.27
admiration,3.33
admire,3.57
admired,3.37
admirer,2.8
admirers,2.85
admires,2.57
admiring,2.96
admiringly,1.89
admissibility,2.89
admissible,3.26
admission,4.44
admissions,4.34
admit,4.17
admits,3.69
admittance,2.83
admitted,4.17
admittedly,3.32
admitting,3.34
admix,1.48
admixed,1.66
admixture,2.88
admixtures,2.63
admonish,2.24
admonished,2.59
admonishes,1.96
admonishing,2.01
admonishment,1.9
admonishments,1.52
admonition,2.67
admonitions,2.21
adnexa,1.51
adnexal,1.75
ado,3.43
adobe,4.67
adobes,1.79
adobo,2.1
adolescence,3.42
adolescent,3.98
adolescents,3.79
adonis,2.88
adopt,4.28
adoptable,2.48
adopted,4.59
adoptee,2.8
adoptees,2.58
adopter,2.71
adopters,2.93
adopting,3.8
adoption,4.48
adoptions,3.23
adoptive,3.32
adopts,3.41
adorable,3.64
adorably,1.76
adoration,2.96
adore,3.3
adored,2.95
adores,2.44
adoring,2.56
adoringly,1.44
adorn,2.9
adorned,3.14
adorning,2.35
adornment,2.5
adornments,2.38
adorns,2.32
ados,1.96
adown,1.41
adrenal,3.35
adrenalectomized,1.4
adrenalectomy,1.99
adrenaline,3.46
adrenals,2.09
adrenergic,3.09
adrenocortical,2.2
adrenocorticotropic,1.72
adrenocorticotropin,1.36
adrift,2.85
adroit,2.49
adroitly,1.94
adroitness,1.44
ads,4.97
adsorb,2.01
adsorbate,1.84
adsorbates,1.48
adsorbed,2.78
adsorbent,2.21
adsorbents,1.99
adsorber,1.79
adsorbing,1.66
adsorbs,1.51
adsorption,3.2
adsorptive,1.57
adulation,2.48
adult,5.22
adulterants,1.44
adulterate,1.55
adulterated,2.42
adulteration,2.27
adulterer,1.94
adulterers,2.0
adulteress,1.89
adulteries,1.42
adulterous,2.25
adultery,3.22
adulthood,3.31
adults,4.75
advance,4.88
advanced,5.47
advancement,3.95
advancements,3.06
advancer,1.5
advancers,1.67
advances,4.19
advancing,3.7
advantage,4.75
advantaged,2.52
advantageous,3.32
advantageously,2.29
advantages,4.33
advected,1.72
advection,2.73
advective,1.91
advent,3.84
adventitia,1.41
adventitious,2.13
adventure,4.77
adventured,1.85
adventurer,3.07
adventurers,3.04
adventures,4.38
adventuresome,2.01
adventuress,1.97
adventuring,2.43
adventurism,1.72
adventurous,3.38
adverb,2.67
adverbial,2.2
adverbials,1.6
adverbs,2.63
adversarial,2.81
adversaries,3.02
adversary,3.27
adverse,4.28
adversely,3.62
adversities,1.98
adversity,3.12
advert,3.97
adverted,1.6
adverting,1.73
advertise,5.14
advertised,3.85
advertisement,4.77
advertisements,4.1
advertiser,4.19
advertisers,4.32
advertises,2.87
advertising,5.19
advertize,2.27
advertized,1.73
advertizing,2.32
advertorial,2.05
advertorials,1.93
adverts,3.76
advice,5.08
advices,2.79
advisability,2.37
advisable,3.39
advise,4.15
advised,4.21
advisedly,1.75
advisee,1.86
advisees,1.93
advisement,2.89
adviser,3.92
advisers,3.74
advises,3.45
